BranchCode,City,State,Group,ItemSubGroup,Item,Color,IMEI1,IMEStock,BranchName,WH Name
MW0111,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094884266,1,SHANKAR ROAD-DELHI,MAIN WH
MW0221,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098939504,1,2-DAYALPUR - DELHI,MAIN WH
MW0074,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098939587,1,2-DARYAGANJ-DELHI,MAIN WH
MW0073,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098940353,1,KHANNA MKT DELHI,MAIN WH
MW0053,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098970707,1,MALVIYA NGAR-DELHI,MAIN WH
MW0004,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098970731,1,SAKET DELHI,MAIN WH
MW0222,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098978072,1,2-ASHOK VIHAR-DELHI,MAIN WH
MW0184,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186076,1,BHOGAL-DELHI,MAIN WH
MW0224,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094185417,1,2-JANAKPURI-DELHI,MAIN WH
MW0218,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186035,1,2-KALKAJI DELHI,MAIN WH
MW0075,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098939553,1,NEHRUPLACE,MAIN WH
MW0060,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098940361,1,RAMESH NAGAR,MAIN WH
MW0217,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094185797,1,3-VIKAS MARG-DELHI,MAIN WH
MW0185,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312096700957,1,2-TUGLAKABAD EXT.-DELHI,MAIN WH
MW0225,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312096708372,1,SEC-10-DWARKA,MAIN WH
MW0208,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186258,1,2-MALVIYA NAGAR-DELHI,MAIN WH
MW0032,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094185995,1,NFCDELHI,MAIN WH
MW0225,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312097711912,1,SEC-10-DWARKA,MAIN WH
MW0225,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098969329,1,SEC-10-DWARKA,MAIN WH
MW0032,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098940312,1,NFCDELHI,MAIN WH
MW0075,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098940379,1,NEHRUPLACE,MAIN WH
MW0099,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186019,1,NARAINA-DELHI,MAIN WH
MW0225,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098940387,1,SEC-10-DWARKA,MAIN WH
MW0190,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098969352,1,KUNDLI - DELHI,MAIN WH
MW0099,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098970608,1,NARAINA-DELHI,MAIN WH
MW0225,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098970822,1,SEC-10-DWARKA,MAIN WH
MW0092,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312097711987,1,GOLE MARKET-DELHI,MAIN WH
MW0144,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099325729,1,SOUTH EX-DELHI,MAIN WH
MW0127,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327279,1,KAROL BAGH-DELHI,MAIN WH
MW0181,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327311,1,TUGLAKABAD-DELHI,MAIN WH
MW0184,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327337,1,BHOGAL-DELHI,MAIN WH
MW0032,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327295,1,NFCDELHI,MAIN WH
MW0127,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327345,1,KAROL BAGH-DELHI,MAIN WH
MW0190,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312091589231,1,KUNDLI - DELHI,MAIN WH
MW0057,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327386,1,MUNIRKA-DELHI,MAIN WH
MW0048,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327048,1,KINGSWAY CAMP DELHI,MAIN WH
MW0074,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327329,1,2-DARYAGANJ-DELHI,MAIN WH
MW0004,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099326339,1,SAKET DELHI,MAIN WH
MW0027,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327162,1,SARITA VIHAR-DELHI,MAIN WH
MW0075,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327196,1,NEHRUPLACE,MAIN WH
MW0184,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312096447294,1,BHOGAL-DELHI,MAIN WH
MW0193,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312091589157,1,2-DWARKA-SEC6,MAIN WH
MW0004,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312096447229,1,SAKET DELHI,MAIN WH
MW0225,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312096431884,1,SEC-10-DWARKA,MAIN WH
MW0218,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327394,1,2-KALKAJI DELHI,MAIN WH
MW0217,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327378,1,3-VIKAS MARG-DELHI,MAIN WH
MW0048,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312091589207,1,KINGSWAY CAMP DELHI,MAIN WH
MW0048,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099326925,1,KINGSWAY CAMP DELHI,MAIN WH
MW0092,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327352,1,GOLE MARKET-DELHI,MAIN WH
MW0008,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLUE,358312099327360,1,KALKAJI DELHI,MAIN WH
MW0208,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099413657,1,2-MALVIYA NAGAR-DELHI,MAIN WH
MW0060,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099510452,1,RAMESH NAGAR,MAIN WH
MW0208,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099509793,1,2-MALVIYA NAGAR-DELHI,MAIN WH
MW0099,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312096137812,1,NARAINA-DELHI,MAIN WH
MW0193,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312096138091,1,2-DWARKA-SEC6,MAIN WH
MW0222,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099413897,1,2-ASHOK VIHAR-DELHI,MAIN WH
MW0056,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099510361,1,MILAP NAGAR-DELHI,MAIN WH
MW0099,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099510395,1,NARAINA-DELHI,MAIN WH
MW0056,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312096137960,1,MILAP NAGAR-DELHI,MAIN WH
MW0225,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312096138059,1,SEC-10-DWARKA,MAIN WH
MW0053,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312091049111,1,MALVIYA NGAR-DELHI,MAIN WH
MW0218,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099413780,1,2-KALKAJI DELHI,MAIN WH
MW0074,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099413814,1,2-DARYAGANJ-DELHI,MAIN WH
MW0073,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099510437,1,KHANNA MKT DELHI,MAIN WH
MW0224,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099510445,1,2-JANAKPURI-DELHI,MAIN WH
MW0224,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099413186,1,2-JANAKPURI-DELHI,MAIN WH
MW0224,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312098151019,1,2-JANAKPURI-DELHI,MAIN WH
MW0224,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099413913,1,2-JANAKPURI-DELHI,MAIN WH
MW0032,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099413921,1,NFCDELHI,MAIN WH
MW0181,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312096137994,1,TUGLAKABAD-DELHI,MAIN WH
MW0185,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312099510338,1,2-TUGLAKABAD EXT.-DELHI,MAIN WH
MW0002,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,GOLD,358312098151035,1,ALAKNANDA-DELHI,MAIN WH
MW0061,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243091811136,1,M2K-ROHINI,MAIN WH
MW0027,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995083,1,SARITA VIHAR-DELHI,MAIN WH
MW0074,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995190,1,2-DARYAGANJ-DELHI,MAIN WH
MW0224,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095131606,1,2-JANAKPURI-DELHI,MAIN WH
MW0061,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243091798960,1,M2K-ROHINI,MAIN WH
MW0184,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995240,1,BHOGAL-DELHI,MAIN WH
MW0061,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243091799018,1,M2K-ROHINI,MAIN WH
MW0073,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995182,1,KHANNA MKT DELHI,MAIN WH
MW0008,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995778,1,KALKAJI DELHI,MAIN WH
MW0116,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095998905,1,NP2-NEHRU PLACE-II,MAIN WH
MW0073,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995174,1,KHANNA MKT DELHI,MAIN WH
MW0181,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,357977099208215,1,TUGLAKABAD-DELHI,MAIN WH
MW0056,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095131572,1,MILAP NAGAR-DELHI,MAIN WH
MW0002,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995109,1,ALAKNANDA-DELHI,MAIN WH
MW0218,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995752,1,2-KALKAJI DELHI,MAIN WH
MW0147,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243091798879,1,BHAJANPURA-DELHI,MAIN WH
MW0057,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995745,1,MUNIRKA-DELHI,MAIN WH
MW0221,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,357977099209437,1,2-DAYALPUR - DELHI,MAIN WH
MW0075,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095999168,1,NEHRUPLACE,MAIN WH
MW0193,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095131648,1,2-DWARKA-SEC6,MAIN WH
MW0190,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,357977096963978,1,KUNDLI - DELHI,MAIN WH
MW0144,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,357977096963879,1,SOUTH EX-DELHI,MAIN WH
MW0004,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095995034,1,SAKET DELHI,MAIN WH
MW0225,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY-J2-2018-J250F,BLACK,359243095131531,1,SEC-10-DWARKA,MAIN WH
